Time,50 uL/s,65 uL/s,80 uL/s
0,-0.001503759,-0.003007519,-0.004511278
0.2,-0.001503759,-0.003007519,-0.004511278
0.4,-0.001503759,-0.003007519,-0.004511278
0.6,-0.001503759,-0.003007519,-0.004511278
0.8,-0.001503759,-0.003007519,-0.004511278
1,-0.001503759,-0.003007519,-0.004511278
1.2,-0.001503759,-0.003007519,-0.004511278
1.4,-0.001503759,-0.003007519,-0.004511278
1.6,-0.001503759,-0.003007519,-0.004511278
1.8,-0.001503759,-0.003007519,-0.004511278
2,-0.001503759,-0.003007519,-0.004511278
2.2,-0.001503759,-0.003759398,0.027819549
2.4,-0.001503759,-0.003759398,0.038345865
2.6,-0.001503759,-0.003759398,0.039849624
2.8,-0.001503759,-0.003759398,0.041353383
3,-0.001503759,-0.003759398,0.053383459
3.2,0.041353383,0.039097744,0.078947368
3.4,0.043609023,0.041353383,0.085714286
3.6,0.045112782,0.042857143,0.103007519
3.8,0.045112782,0.044360902,0.112781955
4,0.045864662,0.05037594,0.131578947
4.2,0.048120301,0.082706767,0.139849624
4.4,0.061654135,0.084210526,0.154135338
4.6,0.084210526,0.086466165,0.164661654
4.8,0.086466165,0.091729323,0.181203008
5,0.087969925,0.119548872,0.193233083
5.2,0.090977444,0.12406015,0.209022556
5.4,0.10075188,0.127819549,0.222556391
5.6,0.122556391,0.137593985,0.236842105
5.8,0.12556391,0.160150376,0.254887218
6,0.128571429,0.164661654,0.266165414
6.2,0.153383459,0.177443609,0.285714286
6.4,0.158646617,0.193984962,0.297744361
6.6,0.160902256,0.203007519,0.315037594
6.8,0.171428571,0.212030075,0.327819549
7,0.189473684,0.232330827,0.347368421
7.2,0.192481203,0.238345865,0.359398496
7.4,0.20075188,0.254135338,0.379699248
7.6,0.217293233,0.265413534,0.388721805
7.8,0.22406015,0.276691729,0.412030075
8,0.237593985,0.288721805,0.432330827
8.2,0.24887218,0.303759398,0.444360902
8.4,0.255639098,0.318796992,0.490977444
8.6,0.267669173,0.327067669,0.49924812
8.8,0.277443609,0.345112782,0.50075188
9,0.285714286,0.354887218,0.50075188
9.2,0.306015038,0.390225564,0.50075188
9.4,0.328571429,0.412030075,0.50075188
9.6,0.331578947,0.415037594,0.50075188
9.8,0.331578947,0.415789474,0.50075188
10,0.332330827,0.415789474,0.50075188
10.2,0.332330827,0.415789474,0.50075188
10.4,0.331578947,0.415789474,0.50075188
10.6,0.331578947,0.415789474,0.50075188
10.8,0.331578947,0.415789474,0.50075188
11,0.331578947,0.415789474,0.50075188
11.2,0.331578947,0.415789474,0.50075188
11.4,0.331578947,0.415789474,0.50075188
11.6,0.331578947,0.415789474,0.50075188
11.8,0.331578947,0.415789474,0.50075188
12,0.331578947,0.415789474,0.50075188
12.2,0.331578947,0.415789474,0.50075188
12.4,0.331578947,0.415789474,0.50075188
12.6,0.331578947,0.415789474,0.5
12.8,0.331578947,0.415789474,0.5
13,0.331578947,0.415789474,0.5
13.2,0.331578947,0.415789474,0.5
13.4,0.331578947,0.415789474,0.5
13.6,0.331578947,0.415789474,0.5
13.8,0.331578947,0.415789474,0.5
14,0.331578947,0.415789474,0.5
14.2,0.331578947,0.415789474,0.5
14.4,0.331578947,0.415789474,0.5
14.6,0.331578947,0.415789474,0.5
14.8,0.331578947,0.415789474,0.5
15,0.331578947,0.415789474,0.5
15.2,0.331578947,0.415789474,0.5
15.4,0.331578947,0.415789474,0.5
15.6,0.331578947,0.415789474,0.5
15.8,0.331578947,0.415789474,0.5
16,0.331578947,0.415789474,0.5
16.2,0.331578947,0.415789474,0.5
16.4,0.331578947,0.415789474,0.5
16.6,0.331578947,0.415789474,0.5
16.8,0.331578947,0.415789474,0.5
17,0.331578947,0.415789474,0.5
17.2,0.331578947,0.415789474,0.5
17.4,0.331578947,0.415789474,0.5
17.6,0.331578947,0.415789474,0.5
17.8,0.331578947,0.415789474,0.5
18,0.331578947,0.415789474,0.5
18.2,0.331578947,0.415789474,0.49924812
18.4,0.331578947,0.415789474,0.49924812
18.6,0.331578947,0.415789474,0.49924812
18.8,0.331578947,0.415789474,0.49924812
19,0.331578947,0.415789474,0.49924812
19.2,0.331578947,0.415789474,0.49924812
19.4,0.331578947,0.415789474,0.49924812
19.6,0.331578947,0.415789474,0.49924812
19.8,0.331578947,0.415789474,0.49924812
20,0.331578947,0.415789474,0.49924812
20.2,0.331578947,0.415789474,0.49924812
20.4,0.331578947,0.415789474,0.49924812
20.6,0.331578947,0.415789474,0.49924812
20.8,0.331578947,0.415789474,0.49924812
21,0.331578947,0.415789474,0.49924812
21.2,0.331578947,0.415789474,0.49924812
21.4,0.331578947,0.415789474,0.49924812
21.6,0.331578947,0.415789474,0.49924812
21.8,0.331578947,0.415789474,0.49924812
22,0.331578947,0.415789474,0.49924812
22.2,0.330827068,0.415789474,0.49924812
22.4,0.330827068,0.415789474,0.49924812
22.6,0.330827068,0.415789474,0.49924812
22.8,0.330827068,0.415789474,0.49924812
23,0.330827068,0.415789474,0.49924812
23.2,0.330827068,0.415789474,0.49924812
23.4,0.330827068,0.415789474,0.49924812
23.6,0.330827068,0.415789474,0.49924812
23.8,0.330827068,0.415789474,0.49924812
24,0.330827068,0.415789474,0.49924812
24.2,0.330827068,0.415789474,0.49924812
24.4,0.330827068,0.415789474,0.49924812
24.6,0.330827068,0.415789474,0.49924812
24.8,0.330827068,0.415789474,0.49924812
25,0.330827068,0.415789474,0.5
25.2,0.330827068,0.415789474,0.5
25.4,0.330827068,0.415789474,0.5
25.6,0.330827068,0.415789474,0.5
25.8,0.330827068,0.415789474,0.5
26,0.330827068,0.415789474,0.5
26.2,0.330827068,0.415789474,0.5
26.4,0.330827068,0.415789474,0.5
26.6,0.330827068,0.415789474,0.5
26.8,0.330827068,0.415789474,0.5
27,0.330827068,0.415789474,0.5
27.2,0.330827068,0.415789474,0.5
27.4,0.330827068,0.415789474,0.5
27.6,0.330827068,0.415789474,0.5
27.8,0.330827068,0.415789474,0.5
28,0.330827068,0.415789474,0.5
28.2,0.330827068,0.415789474,0.5
28.4,0.330827068,0.415789474,0.5
28.6,0.330827068,0.415789474,0.5
28.8,0.330827068,0.415789474,0.5
